condition,variable,channel,value
with,DeltaHCO2,P4,3.8296084851891696
with,DeltaLAC,Fp1,4.582517199822154
with,DeltaLAC,Fp2,4.579529928225309
with,DeltaLAC,F3,4.608870905448235
with,DeltaLAC,F4,4.569017078893093
with,DeltaLAC,T5,4.705399869608754
with,DeltaLAC,T6,4.700517109000863
with,DeltaLAC,O1,4.618093103194969
with,DeltaLAC,O2,4.691004479845453
with,DeltaLAC,F7,4.693779930779203
with,DeltaLAC,F8,4.699996784717054
with,DeltaLAC,C3,4.69866018611584
with,DeltaLAC,C4,4.699375282067491
with,DeltaLAC,T3,4.68090411874342
with,DeltaLAC,T4,4.585306019561363
with,DeltaLAC,P3,4.697013420444978
with,DeltaLAC,P4,4.6978620294379425
without,CBF,Fp1,4.201803944219281
without,CBF,Fp2,4.198433957262284
without,CBF,F3,4.217828974603677
without,CBF,F4,4.200342812616299
without,CBF,T5,4.259158966172875
without,CBF,T6,4.245033176107992
without,CBF,O1,4.216816618590681
without,CBF,O2,4.238582543712781
without,CBF,F7,4.240478120052131
without,CBF,F8,4.252247135011562
without,CBF,C3,4.25153670172335
without,CBF,C4,4.251862773588789
without,CBF,T3,4.2214001724647865
without,CBF,T4,4.202836714012362
without,CBF,P3,4.250615277437646
without,CBF,P4,4.246967208594042
without,OEF,Fp1,0.22487535966558606
without,OEF,Fp2,0.22490729617351068
without,OEF,F3,0.2247410857139981
without,OEF,F4,0.2248896904555447
without,OEF,T5,0.22445967838623312
without,OEF,T6,0.22453524489472876
without,OEF,O1,0.2247453702468878
without,OEF,O2,0.2245764054425087
without,OEF,F7,0.22456489418405667
without,OEF,F8,0.2244955500098618
without,OEF,C3,0.2244997576005324
without,OEF,C4,0.22449783484293934
without,OEF,T3,0.22470341458663806
without,OEF,T4,0.2248656594915345
without,OEF,P3,0.22450539798828054
without,OEF,P4,0.2245257612931214
without,ph_V,Fp1,7.323809223824463
without,ph_V,Fp2,7.323811182432144
without,ph_V,F3,7.323800989048319
without,ph_V,F4,7.32381010270563
without,ph_V,T5,7.323783730851014
without,ph_V,T6,7.323788365206926
without,ph_V,O1,7.323801251810892
without,ph_V,O2,7.3237908895081265
without,ph_V,F7,7.323790183543676
without,ph_V,F8,7.323785930792158
without,ph_V,C3,7.323786188836007
without,ph_V,C4,7.323786070916797
without,ph_V,T3,7.323798678746898
without,ph_V,T4,7.323808628930508
without,ph_V,P3,7.323786534750685
without,ph_V,P4,7.32378778359497
without,p_CO2_V,Fp1,50.41838446050572
without,p_CO2_V,Fp2,50.41865542387124
without,p_CO2_V,F3,50.417244215773486
without,p_CO2_V,F4,50.41850601810424
without,p_CO2_V,T5,50.414851666330804
without,p_CO2_V,T6,50.415495257582876
without,p_CO2_V,O1,50.41728086118886
without,p_CO2_V,O2,50.41584540315035
without,p_CO2_V,F7,50.41574743264002
