Timestamp,Fp1,Fp2,F3,F4,T5,T6,O1,O2,F7,F8,C3,C4,T3,T4,P3,P4
1.53125,-360677.762112,-50250.655443,-1247592.121076,-40384.416626,-1216062.213905,-1494145.09465,-1713034.834031,-2174144.706028,-3572386.333035,-2625722.006049,-2632174.328825,-2482352.552694,-2482910.452236,-80176.064989,-2545916.62239,-2523587.766121
1.53515625,-361191.136979,-50870.245799,-1247620.552495,-40738.468258,-1216048.802858,-1494115.053906,-1713245.655685,-2174145.778912,-3572345.563453,-2625695.720398,-2632119.075313,-2482311.246671,-2483559.010453,-80787.072276,-2545835.083227,-2523558.798261
1.5390625,-361665.888031,-51129.883662,-1247684.389077,-40885.45333,-1216072.942742,-1494123.100534,-1713498.319804,-2174179.574749,-3572341.80836,-2625717.714514,-2632116.929545,-2482309.100903,-2483964.560505,-81157.753606,-2545810.406901,-2523562.553354
1.54296875,-361981.315849,-51454.430992,-1247633.427099,-41028.146866,-1216069.187649,-1494102.179301,-1713471.497711,-2174184.939168,-3572317.132034,-2625714.495863,-2632092.253219,-2482283.888135,-2484212.396647,-81240.902095,-2545782.511924,-2523538.949911
1.546875,-362334.831039,-52148.586768,-1247568.517633,-41377.906964,-1216050.412184,-1494079.112301,-1713406.588245,-2174173.137447,-3572288.164173,-2625673.18984,-2632043.437009,-2482254.383833,-2484402.83351,-81530.580703,-2545736.914365,-2523503.544748
1.55078125,-362886.293278,-52849.179846,-1247648.447472,-41770.045968,-1216069.724091,-1494104.86151,-1713629.748062,-2174199.95954,-3572303.720987,-2625666.752537,-2632036.999707,-2482267.794879,-2484569.66693,-82143.197315,-2545717.602458,-2523508.909167
1.5546875,-363444.729262,-53207.523013,-1247772.365543,-41973.357436,-1216064.896114,-1494101.106417,-1713921.572437,-2174201.032424,-3572283.872638,-2625649.049955,-2632016.614916,-2482247.410088,-2484668.372234,-82617.411925,-2545672.004899,-2523487.451492
1.55859375,-363835.795383,-53524.560156,-1247776.657078,-42114.978089,-1216063.286789,-1494091.986906,-1713927.473298,-2174206.396843,-3572268.852266,-2625643.149095,-2632002.130986,-2482233.4626,-2484681.246839,-82750.449508,-2545653.229434,-2523476.186213
1.5625,-364180.191062,-54184.920095,-1247709.601845,-42441.134744,-1216078.307161,-1494110.762371,-1713803.555227,-2174232.682494,-3572281.726871,-2625642.076211,-2631991.402148,-2482242.582112,-2484716.652002,-82988.093256,-2545654.838759,-2523485.305725
1.56640625,-364701.076114,-54906.970847,-1247766.464682,-42839.711051,-1216045.047765,-1494088.231813,-1713948.930973,-2174208.006168,-3572246.321708,-2625581.994722,-2631935.612194,-2482209.322716,-2484786.389445,-83564.231821,-2545585.101317,-2523441.317492
1.5703125,-365259.512098,-55302.328503,-1247884.481893,-43071.990379,-1216038.074021,-1494086.622487,-1714226.271418,-2174207.469726,-3572228.619126,-2625559.464164,-2631915.763845,-2482196.984553,-2484834.669213,-84085.116873,-2545544.868177,-2523424.687794
1.57421875,-365668.2808,-55561.429925,-1247907.012452,-43188.398264,-1216057.385928,-1494100.569975,-1714259.530814,-2174233.755378,-3572232.374219,-2625573.411652,-2631922.737589,-2482199.666762,-2484816.966631,-84236.39348,-2545543.795293,-2523434.343747
1.578125,-365997.656107,-56162.781258,-1247834.056358,-43481.831966,-1216047.729975,-1494093.059789,-1714098.598254,-2174233.755378,-3572218.42673,-2625548.735326,-2631894.842612,-2482186.792158,-2484824.476817,-84422.002366,-2545521.801176,-2523422.542026
1.58203125,-366483.135996,-56902.534592,-1247857.123358,-43885.772691,-1216057.385928,-1494114.517464,-1714159.216185,-2174250.921518,-3572227.0098,-2625532.64207,-2631882.504449,-2482196.984553,-2484877.584562,-84943.42386,-2545503.562153,-2523424.151352
1.5859375,-367022.260073,-57330.615202,-1247963.338848,-44139.509695,-1216045.584207,-1494109.689487,-1714412.953188,-2174247.702867,-3572207.161451,-2625505.283535,-2631855.145914,-2482179.818413,-2484885.63119,-85493.276774,-2545457.964594,-2523403.230119
1.58984375,-367425.127915,-57528.562251,-1247999.280453,-44227.486161,-1216060.068138,-1494120.418325,-1714486.445723,-2174268.624099,-3572207.697893,-2625516.012372,-2631861.046775,-2482181.964181,-2484890.459167,-85668.156823,-2545453.673059,-2523412.349631
