Index,Timestamp,Fp1,Fp2,F3,F4,T5,T6,O1,O2,F7,F8,C3,C4,T3,T4,P3,P4
28.0,0.109375,-310123.480573,-3555.536694,-640355.484528,994600.772214,-765184.434078,-906967.628833,-883057.878382,-1083980.570314,-3747834.47359,-3203504.22901,-3210617.448165,-2939479.343829,-2924648.335534,-419811.894871,-3084412.525226,-2607996.893882
29.0,0.11328125,-310139.037387,-3270.686063,-640419.857552,994697.868192,-765189.798497,-906967.092391,-883232.758431,-1083990.762709,-3747824.281195,-3203505.301893,-3210620.666816,-2939468.614992,-2924927.285305,-419735.183684,-3084401.796389,-2607991.529464
30.0,0.1171875,-310073.591479,-3096.342456,-640411.274482,994768.678518,-765185.506962,-906954.754228,-883167.848965,-1083998.809337,-3747811.40659,-3203504.765452,-3210609.937979,-2939450.91241,-2924778.690908,-419270.088586,-3084391.603993,-2607983.482836
31.0,0.12109375,-310054.279572,-3377.974436,-640368.895575,994571.267911,-765217.693474,-906990.695833,-883031.056289,-1084034.214501,-3747844.665986,-3203519.249382,-3210620.130374,-2939475.588736,-2924487.402974,-419223.954585,-3084385.703133,-2608009.768487
32.0,0.125,-310124.553457,-3597.37916,-640407.519389,994374.930188,-765247.197777,-907028.783206,-883129.22515,-1084061.036594,-3747870.415195,-3203523.004475,-3210627.104119,-2939495.973527,-2924622.049883,-419799.020266,-3084376.047179,-2608022.643092
33.0,0.12890625,-310135.282294,-3430.009297,-640474.574622,994426.965049,-765262.754591,-907042.194252,-883316.443362,-1084083.567152,-3747876.316056,-3203537.488405,-3210638.90584,-2939500.265062,-2924922.99377,-419827.988127,-3084378.729389,-2608026.934627
34.0,0.1328125,-310091.830503,-3418.207576,-640475.111064,994424.28284,-765260.072382,-907033.074741,-883288.548385,-1084088.395129,-3747854.321939,-3203533.19687,-3210629.249886,-2939475.588736,-2924858.620746,-419547.965473,-3084368.536993,-2608016.20579
35.0,0.13671875,-310052.133805,-3360.271854,-640421.466878,994466.125305,-765264.900358,-907043.267136,-883129.22515,-1084103.415502,-3747855.931265,-3203518.71294,-3210613.693072,-2939472.906527,-2924548.020905,-419478.764472,-3084366.927667,-2608016.20579
36.0,0.140625,-310099.877131,-3552.854485,-640447.216087,994373.320862,-765267.046126,-907053.995973,-883181.796453,-1084106.097711,-3747855.931265,-3203490.817963,-3210594.917607,-2939467.005666,-2924611.857487,-419679.39373,-3084345.469993,-2608000.648975
37.0,0.14453125,-310121.334806,-3402.650762,-640515.344204,994384.586142,-765283.139382,-907069.016346,-883377.061293,-1084125.94606,-3747861.295684,-3203497.255265,-3210602.964235,-2939470.224317,-2924927.285305,-419741.084545,-3084342.787783,-2608003.867627
