Timestamp,Fp1,Fp2,F3,F4,T5,T6,O1,O2,F7,F8,C3,C4,T3,T4,P3,P4
6.43359375,-343065.839179,15724.720445,-1529992.285966,-17323.317209,-1431060.603983,-1786142.740982,-2144105.570806,-2539389.197754,-3520537.080829,-2480497.000277,-2486548.064536,-2443592.482041,-2437804.810739,-47900.503624,-2541643.326478,-2523049.178487
6.4375,-343009.512783,16030.492309,-1530026.618245,-17158.629556,-1431050.94803,-1786090.706121,-2144309.955157,-2539381.151126,-3520481.290875,-2480508.801998,-2486509.440721,-2443532.400552,-2438739.292471,-47715.967621,-2541593.973827,-2523005.726696
6.44140625,-342929.046503,16033.174519,-1530141.953247,-17144.145625,-1431077.233681,-1786091.779005,-2144356.089158,-2539411.19187,-3520484.509526,-2480540.452068,-2486514.80514,-2443533.473436,-2439259.10464,-47537.868922,-2541605.775548,-2523007.872463
6.4453125,-342888.276921,15759.052725,-1530316.296854,-17263.23572,-1431058.458216,-1786062.811144,-2144446.211391,-2539395.635056,-3520459.8332,-2480514.702858,-2486470.816907,-2443505.578459,-2439606.71897,-47659.104783,-2541568.761059,-2522970.321533
6.44921875,-342879.693851,15721.501794,-1530555.013484,-17310.442604,-1431057.385332,-1786056.910283,-2144713.895883,-2539393.489289,-3520449.104363,-2480513.629975,-2486457.942302,-2443496.458947,-2439917.855253,-47832.375506,-2541549.985594,-2522952.618951
6.453125,-342858.772619,16020.299914,-1530807.677604,-17200.472021,-1431068.11417,-1786055.300958,-2144982.116816,-2539403.681684,-3520442.130618,-2480537.769859,-2486469.207581,-2443492.703854,-2440129.74979,-47680.026016,-2541558.032222,-2522951.546067
6.45703125,-342807.274199,16107.203496,-1530985.776304,-17083.527694,-1431058.994658,-1786037.598376,-2145037.370329,-2539392.952847,-3520419.063618,-2480528.113905,-2486453.114325,-2443470.709738,-2440174.810907,-47454.18399,-2541553.740687,-2522930.624834
6.4609375,-342768.650385,15847.029191,-1531120.959654,-17184.915207,-1431087.426077,-1786066.566237,-2145051.854259,-2539422.457149,-3520448.567921,-2480544.207161,-2486469.744023,-2443499.141157,-2440194.659256,-47523.384991,-2541580.56278,-2522956.910486
6.46484375,-342799.227571,15739.740818,-1531296.376144,-17273.428115,-1431081.525216,-1786061.73826,-2145254.629285,-2539411.728312,-3520440.521293,-2480531.332556,-2486452.041441,-2443491.094529,-2440270.29756,-47718.649831,-2541560.714431,-2522944.572323
6.46875,-342796.00892,16002.597332,-1531484.130798,-17194.034719,-1431072.405705,-1786045.108562,-2145492.273032,-2539397.780823,-3520419.063618,-2480529.186789,-2486446.140581,-2443471.782621,-2440348.08163,-47597.950411,-2541548.376268,-2522926.869741
6.47265625,-342738.60964,16155.483264,-1531606.975985,-17064.752229,-1431066.504844,-1786035.452609,-2145523.923102,-2539395.635056,-3520415.308525,-2480539.915626,-2486443.994813,-2443462.66311,-2440301.411188,-47030.931357,-2541540.32964,-2522920.432439
6.4765625,-342688.184105,15918.912401,-1531665.984591,-17116.250648,-1431062.749751,-1786032.233957,-2145472.961125,-2539391.879963,-3520421.745827,-2480528.650347,-2486428.437999,-2443461.053784,-2440215.044047,-47194.009685,-2541509.752454,-2522914.531578
6.48046875,-342719.297733,15744.032352,-1531763.617011,-17232.658533,-1431076.160798,-1786050.472981,-2145605.462266,-2539403.681684,-3520439.448409,-2480533.478324,-2486432.193092,-2443476.074156,-2440222.017792,-47612.434341,-2541511.898221,-2522927.942625
6.484375,-342727.344361,15952.708239,-1531889.680849,-17177.941463,-1431077.770123,-1786051.009423,-2145818.966129,-2539402.6088,-3520432.474665,-2480539.915626,-2486435.948185,-2443470.709738,-2440267.61535,-47594.195318,-2541507.070244,-2522923.114648
6.48828125,-342691.402756,16166.212102,-1531976.584432,-17020.763996,-1431081.525216,-1786046.181446,-2145853.298408,-2539404.218126,-3520420.672944,-2480547.425812,-2486442.385488,-2443466.418203,-2440216.116931,-47332.411686,-2541520.481291,-2522921.505323
6.4921875,-342658.679802,15968.265053,-1531994.823455,-17057.778485,-1431086.353193,-1786051.009423,-2145761.566849,-2539406.900335,-3520426.037362,-2480539.915626,-2486435.948185,-2443471.782621,-2440097.563278,-47297.542965,-2541533.892338,-2522924.187532
6.49609375,-342686.574779,15738.131492,-1532040.957456,-17199.399137,-1431083.134542,-1786054.764516,-2145827.012757,-2539403.681684,-3520431.401781,-2480524.895254,-2486422.000697,-2443470.709738,-2440082.542906,-47501.390875,-2541525.84571,-2522917.75023
6.5,-342706.423128,15880.288587,-1532128.39748,-17189.206742,-1431084.743867,-1786055.837399,-2146019.058945,-2539402.6088,-3520422.818711,-2480528.113905,-2486424.682906,-2443469.100412,-2440125.458255,-47549.134201,-2541521.554175,-2522917.213788
6.50390625,-342683.89257,16136.171357,-1532194.37983,-17065.288671,-1431096.009147,-1786064.420469,-2146080.213318,-2539417.092731,-3520424.964479,-2480547.962254,-2486446.140581,-2443477.683482,-2440072.350511,-47294.860756,-2541547.303384,-2522927.942625
6.5078125,-342625.420407,15996.696472,-1532189.015411,-17012.717368,-1431058.458216,-1786027.942422,-2145971.852061,-2539380.078242,-3520390.632199,-2480503.974021,-2486401.079464,-2443441.741877,-2439942.531579,-47207.420731,-2541518.871965,-2522890.928136
6.51171875,-342643.65943,15730.084864,-1532200.28069,-17158.093114,-1431044.510727,-1786019.895794,-2145983.11734,-2539365.05787,-3520383.122013,-2480477.151928,-2486374.793813,-2443433.158807,-2439887.278067,-47397.857594,-2541499.560058,-2522876.444206
6.515625,-342666.189988,15803.040958,-1532261.435063,-17144.145625,-1431043.437844,-1786019.895794,-2146160.143156,-2539359.693451,-3520378.294036,-2480474.469718,-2486369.429394,-2443427.794388,-2439881.377206,-47504.073084,-2541490.440546,-2522871.616229
6.51953125,-342664.044221,16012.253286,-1532318.834343,-16991.259693,-1431068.11417,-1786038.67126,-2146235.781459,-2539377.932474,-3520387.413548,-2480502.364695,-2486397.860813,-2443441.205435,-2439823.977926,-47204.20208,-2541520.481291,-2522889.318811
6.5234375,-342561.583824,15533.747141,-1531785.074685,-16917.767157,-1430349.81851,-1785321.984926,-2145621.555522,-2538652.126628,-3519668.581446,-2479775.485966,-2485661.862571,-2442707.889403,-2439008.049847,-46663.468678,-2540781.264398,-2522164.049407
6.52734375,-340333.204309,14150.800008,-1521344.843071,-15659.810979,-1416250.516921,-1771334.799687,-2135390.536236,-2524704.638088,-3505841.792326,-2465679.93947,-2471645.709472,-2428685.835443,-2425535.848801,-44719.403353,-2526816.073277,-2508242.310076
6.53125,-341849.189025,15230.121044,-1526400.271225,-16534.747664,-1425203.73168,-1780338.976424,-2140580.611298,-2533551.637358,-3514748.336643,-2474571.999856,-2480653.10486,-2437717.370715,-2430429.271511,-46324.437419,-2535798.255896,-2517207.326556
6.53515625,-342880.766735,16160.847683,-1530354.920668,-16971.411344,-1431147.507566,-1786225.353029,-2144712.286557,-2539416.019847,-3520541.372364,-2480514.702858,-2486541.090791,-2443595.164251,-2435962.132926,-47242.289453,-2541648.690897,-2523063.662417
6.5390625,-342798.154688,16149.045962,-1530353.847784,-16949.953669,-1431137.31517,-1786180.828354,-2144709.604348,-2539416.019847,-3520501.139224,-2480518.994393,-2486503.003419,-2443552.248901,-2436635.903911,-47077.065358,-2541616.504385,-2523028.257254
6.54296875,-342762.213083,15847.565633,-1530461.136158,-17107.667578,-1431141.070264,-1786172.245285,-2144762.712093,-2539425.139359,-3520495.774805,-2480518.457951,-2486479.936419,-2443543.12939,-2437127.284661,-47209.030057,-2541600.411129,-2523013.236882
6.546875,-342783.134315,15766.026469,-1530674.640021,-17180.08723,-1431129.804984,-1786151.324052,-2145014.303328,-2539410.655428,-3520472.707805,-2480503.437579,-2486448.82279,-2443518.989506,-2437559.120364,-47404.831339,-2541561.787315,-2522981.05037
